"idinvestiment";"iduser";"idperson";"idsgcompany";"dtbuy";"dtsell";"dtregister"
291;1;23;21;"2020-08-20";"2020-08-28";"2021-04-15 17:45:15"
292;1;3;3;"2020-08-21";"2020-09-17";"2021-04-15 17:45:34"
293;1;6;4;"2020-08-21";"2020-11-28";"2021-04-15 17:46:58"
296;1;24;22;"2020-08-24";"2020-09-08";"2021-04-15 17:53:39"
298;1;15;13;"2020-08-25";"";"2021-04-15 17:55:24"
299;1;15;13;"2020-08-25";"";"2021-04-15 17:55:43"
302;1;15;13;"2020-08-26";"";"2021-04-15 17:58:32"
305;1;23;21;"2020-08-31";"2020-09-03";"2021-04-15 18:00:40"
306;1;24;23;"2020-08-31";"2020-11-05";"2021-04-15 18:01:11"
307;1;10;9;"2020-08-31";"2020-12-03";"2021-04-15 18:01:34"
308;1;15;13;"2020-08-31";"";"2021-04-15 18:02:01"
311;1;21;19;"2020-09-04";"2020-11-26";"2021-04-15 18:04:06"
312;1;23;21;"2020-09-04";"2020-11-09";"2021-04-15 18:04:22"
314;1;3;3;"2020-09-08";"2020-09-17";"2021-04-15 18:09:06"
315;1;21;19;"2020-09-08";"2020-11-26";"2021-04-15 18:09:29"
316;1;23;21;"2020-09-08";"2020-11-09";"2021-04-15 18:09:51"
317;1;23;21;"2020-09-08";"2020-11-09";"2021-04-15 18:10:06"
320;1;21;19;"2020-09-10";"2020-11-26";"2021-04-15 18:15:27"
321;1;23;21;"2020-09-10";"2020-11-09";"2021-04-15 18:15:41"
322;1;26;24;"2020-09-10";"2021-04-16";"2021-04-15 18:17:39"
323;1;22;20;"2020-09-11";"2020-10-19";"2021-04-15 18:18:05"
324;1;23;21;"2020-09-11";"2020-11-09";"2021-04-15 18:18:26"
325;1;26;24;"2020-09-11";"2021-04-16";"2021-04-15 18:18:53"
326;1;26;24;"2020-09-17";"2021-04-16";"2021-04-15 18:22:45"
327;1;23;21;"2020-11-09";"2020-11-16";"2021-04-21 14:21:42"
328;1;22;20;"2020-09-22";"2020-10-19";"2021-04-15 18:28:44"
329;1;23;21;"2020-09-22";"2020-11-16";"2021-04-15 18:29:03"
330;1;26;24;"2020-09-22";"2021-04-16";"2021-04-15 18:30:04"
331;1;26;24;"2020-10-09";"2021-04-16";"2021-04-15 18:30:37"
334;1;21;19;"2020-10-27";"2020-11-26";"2021-04-15 18:34:16"
336;1;21;19;"2020-11-09";"2020-11-26";"2021-04-15 18:36:21"
337;1;21;19;"2020-11-10";"2020-11-26";"2021-04-15 18:36:58"
338;1;21;19;"2020-11-10";"2020-11-26";"2021-04-15 18:39:17"
340;1;21;19;"2020-11-12";"2020-11-26";"2021-04-15 18:44:24"
341;1;22;20;"2020-11-12";"2020-11-26";"2021-04-15 18:44:47"
342;1;21;19;"2020-11-16";"2020-11-26";"2021-04-15 18:45:17"
